,game_number, player_won, player_just_moved, cell0, cell1, cell2, cell3, cell4, cell5, cell6, cell7, cell8, best_move
2,1,2,2,0,0,0,0,2,0,0,1,0,5
3,1,2,1,0,0,0,0,2,1,0,1,0,6
4,1,2,2,0,0,0,0,2,1,2,1,0,2
5,1,2,1,0,0,1,0,2,1,2,1,0,0
6,1,2,2,2,0,1,0,2,1,2,1,0,3
7,1,2,1,2,0,1,1,2,1,2,1,0,8
8,4,2,2,0,0,0,0,0,0,0,0,0,1
9,4,2,1,0,1,0,0,0,0,0,0,0,4
10,4,2,2,0,1,0,0,2,0,0,0,0,8
11,4,2,1,0,1,0,0,2,0,0,0,1,3
12,4,2,2,0,1,0,2,2,0,0,0,1,5
13,4,2,1,0,1,0,2,2,1,0,0,1,6
14,4,2,2,0,1,0,2,2,1,2,0,1,0
15,4,2,1,1,1,0,2,2,1,2,0,1,2
16,5,1,2,0,0,0,0,0,0,0,0,0,4
17,5,1,1,0,0,0,0,1,0,0,0,0,1
18,5,1,2,0,2,0,0,1,0,0,0,0,0
19,5,1,1,1,2,0,0,1,0,0,0,0,8
20,5,1,2,1,2,0,0,1,0,0,0,2,3
21,5,1,1,1,2,0,1,1,0,0,0,2,6
22,5,1,2,1,2,0,1,1,0,2,0,2,5
23,13,1,2,0,0,0,0,0,0,0,0,0,7
24,13,1,1,0,0,0,0,0,0,0,1,0,4
25,13,1,2,0,0,0,0,2,0,0,1,0,5
26,13,1,1,0,0,0,0,2,1,0,1,0,0
27,13,1,2,2,0,0,0,2,1,0,1,0,8
28,13,1,1,2,0,0,0,2,1,0,1,1,6
29,13,1,2,2,0,0,0,2,1,2,1,1,2
